epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7536,1.59037,2.78632,1.25463,0.00375,0.5,0.18499,0.05521,1.45395,3.11399,1.08918,0.00042,0.00042,0.00042
2,93.5613,1.52732,1.57526,1.13768,0.00503,0.25,0.00555,0.00267,1.59225,3.42594,1.23623,0.000851486,0.000851486,0.000851486
3,154.966,1.56448,1.42205,1.20849,0.87118,0.09091,0.15191,0.09225,1.77064,2.59636,1.26896,0.00127426,0.00127426,0.00127426
4,216.989,1.51511,1.32403,1.21639,0.74152,0.11364,0.18526,0.07759,1.82267,2.57534,1.4144,0.00168832,0.00168832,0.00168832
5,281.369,1.42935,1.2727,1.1667,0.74035,0.18182,0.17786,0.07495,1.75344,1.64769,1.48438,0.0019208,0.0019208,0.0019208
6,347.909,1.45121,1.23204,1.13464,0.30798,0.06818,0.07263,0.04234,1.87822,2.03798,1.46246,0.001901,0.001901,0.001901
7,429.761,1.47554,1.16658,1.16667,1,0.13562,0.15404,0.06339,1.7579,1.80612,1.34066,0.0018812,0.0018812,0.0018812
8,503.464,1.43019,1.14742,1.17283,0.60755,0.15909,0.14244,0.07317,1.75436,1.52309,1.62199,0.0018614,0.0018614,0.0018614
9,575.019,1.41321,1.06083,1.16916,0.98114,0.11364,0.11652,0.06605,1.68027,1.25087,1.39553,0.0018416,0.0018416,0.0018416
10,648.809,1.39591,0.99641,1.1681,0.97724,0.13636,0.1367,0.08485,1.59824,1.21663,1.4052,0.0018218,0.0018218,0.0018218
11,725.038,1.34906,0.93752,1.1593,0.90841,0.09091,0.09804,0.05725,1.66772,1.07852,1.37512,0.001802,0.001802,0.001802
12,803.586,1.30276,0.88657,1.11027,0.32488,0.11364,0.09688,0.04675,1.71023,1.16194,1.44734,0.0017822,0.0017822,0.0017822
13,875.814,1.36899,0.91554,1.12002,0.88181,0.09091,0.09827,0.04248,1.77631,1.20061,1.50953,0.0017624,0.0017624,0.0017624
14,947.33,1.31571,0.88282,1.09022,0.98008,0.11364,0.12146,0.05466,1.83362,1.0445,1.46199,0.0017426,0.0017426,0.0017426
15,1026.29,1.26563,0.86712,1.10765,0.98252,0.11364,0.12128,0.07962,1.63937,0.97301,1.44453,0.0017228,0.0017228,0.0017228
16,1113.28,1.22225,0.86474,1.08208,0.97863,0.09091,0.12038,0.06552,1.75228,0.96717,1.51995,0.001703,0.001703,0.001703
17,1197.35,1.24971,0.8313,1.08131,0.89385,0.09091,0.10193,0.04403,1.80563,1.11284,1.6179,0.0016832,0.0016832,0.0016832
18,1302.08,1.26911,0.84486,1.1082,0.8579,0.11364,0.13056,0.0655,1.68313,0.94952,1.46413,0.0016634,0.0016634,0.0016634
19,1402.37,1.24164,0.81265,1.07581,0.97392,0.09091,0.10726,0.04978,1.8836,0.97587,1.51625,0.0016436,0.0016436,0.0016436
20,1487.85,1.27598,0.78655,1.09988,0.97837,0.11364,0.13267,0.07172,1.68508,0.95135,1.45625,0.0016238,0.0016238,0.0016238
21,1606.79,1.24266,0.78911,1.06505,0.95867,0.09091,0.11266,0.07251,1.72736,0.92862,1.33695,0.001604,0.001604,0.001604
22,1745.67,1.22788,0.79654,1.07307,0.97447,0.13636,0.14875,0.07626,1.61339,0.88525,1.32275,0.0015842,0.0015842,0.0015842
23,1923.28,1.1653,0.75275,1.06448,0.98007,0.06818,0.10018,0.0529,1.67716,0.92998,1.47071,0.0015644,0.0015644,0.0015644
24,2132.87,1.1738,0.74511,1.05741,0.98697,0.13636,0.17981,0.10521,1.63487,0.88164,1.38863,0.0015446,0.0015446,0.0015446
25,2334.81,1.16356,0.7332,1.04894,0.98529,0.09091,0.18983,0.10514,1.68071,0.83305,1.4389,0.0015248,0.0015248,0.0015248
26,2538.77,1.1582,0.71634,1.0311,0.98516,0.11364,0.23126,0.1159,1.58745,0.82498,1.33396,0.001505,0.001505,0.001505
27,2734.18,1.13884,0.70802,1.0494,0.94056,0.18182,0.20542,0.11236,1.63272,0.87484,1.38998,0.0014852,0.0014852,0.0014852
28,2952.07,1.13692,0.68765,1.04305,0.97561,0.20455,0.23431,0.12484,1.6806,0.83536,1.45438,0.0014654,0.0014654,0.0014654
29,3147.73,1.12518,0.67356,1.03234,0.89458,0.22727,0.27337,0.15766,1.60392,0.827,1.26239,0.0014456,0.0014456,0.0014456
30,3359.03,1.09107,0.68739,1.0269,0.98768,0.11364,0.18403,0.11416,1.59071,0.72808,1.31351,0.0014258,0.0014258,0.0014258
31,3555.8,1.12997,0.69514,1.02516,0.86471,0.15909,0.17442,0.10209,1.59635,0.77806,1.30824,0.001406,0.001406,0.001406
32,3757.86,1.10042,0.68412,1.02585,0.89233,0.20455,0.26259,0.14959,1.56476,0.7861,1.35429,0.0013862,0.0013862,0.0013862
33,4026.73,1.06715,0.68503,1.01771,0.97657,0.25,0.29043,0.16508,1.54042,0.74835,1.34588,0.0013664,0.0013664,0.0013664
34,4325.99,1.02289,0.64632,0.9999,0.98349,0.09091,0.12965,0.07346,1.52491,0.88603,1.32743,0.0013466,0.0013466,0.0013466
35,4623.59,1.09761,0.68532,1.00584,0.97848,0.06818,0.08926,0.05346,1.60934,0.84217,1.32656,0.0013268,0.0013268,0.0013268
